organism_full,std_status,std_tested_list,std_missing_list,count
Escherichia coli,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Fluoroquinolones, Penicillins",751.0
Escherichia coli,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins","Folate pathway antagonists, Î²-lactam combination agents",437.0
Escherichia coli,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Penicillins, Î²-lactam combination agents","Fluoroquinolones, Folate pathway antagonists",163.0
Escherichia coli,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Cephalosporins, Lipopeptides",163.0
Escherichia coli,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents","Aminoglycosides, Folate pathway antagonists",70.0
Escherichia coli,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Carbapenems, Penicillins",23.0
Escherichia coli,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents","Carbapenems, Folate pathway antagonists",22.0
Escherichia coli,Missing 2,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones",16.0
Escherichia coli,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins","Fluoroquinolones, Î²-lactam combination agents",14.0
Escherichia coli,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Cephalosporins, Penicillins",13.0
Escherichia coli,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents","Cephalosporins, Folate pathway antagonists",2.0
Escherichia coli,Missing 2,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents","Carbapenems, Fluoroquinolones",2.0
Escherichia coli,Missing 2,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents","Aminoglycosides, Carbapenems",2.0
Escherichia coli,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins","Aminoglycosides, Î²-lactam combination agents",1.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents","Folate pathway antagonists, Lipopeptides, Penicillins",34497.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents","Fluoroquinolones, Lipopeptides, Penicillins",12201.0
Escherichia coli,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins","Carbapenems, Lipopeptides, Î²-lactam combination agents",4664.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Lipopeptides, Penicillins, Î²-lactam combination agents",4217.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, Î²-lactam combination agents","Fluoroquinolones, Folate pathway antagonists, Lipopeptides",3475.0
Escherichia coli,Missing 3,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Lipopeptides",2674.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Lipopeptides, Penicillins",2178.0
Escherichia coli,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Carbapenems, Lipopeptides, Penicillins",2053.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins","Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",1283.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins","Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",1137.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides","Fluoroquinolones, Penicillins, Î²-lactam combination agents",1001.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Folate pathway antagonists, Penicillins",778.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Penicillins",709.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Penicillins, Î²-lactam combination agents",655.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Î²-lactam combination agents","Fluoroquinolones, Folate pathway antagonists, Penicillins",654.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, Î²-lactam combination agents","Aminoglycosides, Folate pathway antagonists, Lipopeptides",301.0
Escherichia coli,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, Î²-lactam combination agents","Carbapenems, Folate pathway antagonists, Lipopeptides",192.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Lipopeptides",173.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Penicillins","Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",114.0
Escherichia coli,Missing 3,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Lipopeptides",108.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins","Aminoglycosides, Lipopeptides, Î²-lactam combination agents",96.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides","Folate pathway antagonists, Penicillins, Î²-lactam combination agents",94.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Cephalosporins, Lipopeptides, Penicillins",40.0
Escherichia coli,Missing 3,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Lipopeptides",37.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Fluoroquinolones, Penicillins, Î²-lactam combination agents","Cephalosporins, Folate pathway antagonists, Lipopeptides",36.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones, Lipopeptides",28.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Cephalosporins, Folate pathway antagonists, Penicillins",26.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins","Cephalosporins, Lipopeptides, Î²-lactam combination agents",23.0
Escherichia coli,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Carbapenems, Folate pathway antagonists, Penicillins",19.0
Escherichia coli,Missing 3,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Penicillins",11.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Cephalosporins, Penicillins, Î²-lactam combination agents",9.0
Escherichia coli,Missing 3,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones, Penicillins",7.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins","Aminoglycosides, Folate pathway antagonists, Î²-lactam combination agents",5.0
Escherichia coli,Missing 3,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Carbapenems, Cephalosporins, Lipopeptides",3.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Lipopeptides, Penicillins, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists",3.0
Escherichia coli,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Carbapenems, Penicillins, Î²-lactam combination agents",1.0
Escherichia coli,Missing 3,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Penicillins",1.0
Escherichia coli,Missing 3,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins","Aminoglycosides, Fluoroquinolones, Î²-lactam combination agents",1.0
Escherichia coli,Missing 3,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Penicillins",1.0
Escherichia coli,Missing 4,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins","Carbapenems, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",5038.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents","Aminoglycosides, Folate pathway antagonists, Lipopeptides, Penicillins",4830.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Cephalosporins, Î²-lactam combination agents","Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins",4251.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Fluoroquinolones, Penicillins, Î²-lactam combination agents",1811.0
Escherichia coli,Missing 4,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Lipopeptides, Penicillins",1799.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists","Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents",1669.0
Escherichia coli,Missing 4,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents","Carbapenems, Folate pathway antagonists, Lipopeptides, Penicillins",1441.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Aminoglycosides, Lipopeptides, Penicillins, Î²-lactam combination agents",1268.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones","Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",1073.0
Escherichia coli,Missing 4,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Lipopeptides, Penicillins",905.0
Escherichia coli,Missing 4,"Aminoglycosides, Cephalosporins, Penicillins, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",817.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Lipopeptides, Penicillins",712.0
Escherichia coli,Missing 4,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins","Carbapenems, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",567.0
Escherichia coli,Missing 4,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Carbapenems, Lipopeptides, Penicillins, Î²-lactam combination agents",498.0
Escherichia coli,Missing 4,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins","Aminoglycosides, Carbapenems, Lipopeptides, Î²-lactam combination agents",490.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Penicillins, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",182.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins","Aminoglycosides, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",127.0
Escherichia coli,Missing 4,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins","Aminoglycosides, Cephalosporins, Lipopeptides, Î²-lactam combination agents",108.0
Escherichia coli,Missing 4,"Carbapenems, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins",107.0
Escherichia coli,Missing 4,"Cephalosporins, Fluoroquinolones, Penicillins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides",106.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins","Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",92.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides","Aminoglycosides, Folate pathway antagonists, Penicillins, Î²-lactam combination agents",86.0
Escherichia coli,Missing 4,"Cephalosporins, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides",82.0
Escherichia coli,Missing 4,"Carbapenems, Fluoroquinolones, Penicillins, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides",80.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins","Aminoglycosides, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",58.0
Escherichia coli,Missing 4,"Carbapenems, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides",54.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins",44.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Fluoroquinolones, Î²-lactam combination agents","Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins",42.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Penicillins","Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",40.0
Escherichia coli,Missing 4,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins","Carbapenems, Cephalosporins, Lipopeptides, Î²-lactam combination agents",23.0
Escherichia coli,Missing 4,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Carbapenems, Cephalosporins, Lipopeptides, Penicillins",23.0
Escherichia coli,Missing 4,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Cephalosporins, Penicillins, Î²-lactam combination agents",20.0
Escherichia coli,Missing 4,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Lipopeptides, Penicillins",19.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides","Cephalosporins, Folate pathway antagonists, Penicillins, Î²-lactam combination agents",14.0
Escherichia coli,Missing 4,"Aminoglycosides, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides",14.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Penicillins, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",13.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins",11.0
Escherichia coli,Missing 4,"Carbapenems, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins",11.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides","Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents",9.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists","Cephalosporins, Lipopeptides, Penicillins, Î²-lactam combination agents",9.0
Escherichia coli,Missing 4,"Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Folate pathway antagonists, Penicillins",6.0
Escherichia coli,Missing 4,"Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides",6.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Fluoroquinolones, Penicillins","Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",4.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Lipopeptides, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",4.0
Escherichia coli,Missing 4,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides","Cephalosporins, Fluoroquinolones, Penicillins, Î²-lactam combination agents",3.0
Escherichia coli,Missing 4,"Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Fluoroquinolones, Penicillins",3.0
Escherichia coli,Missing 4,"Aminoglycosides, Cephalosporins, Lipopeptides, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins",2.0
Escherichia coli,Missing 4,"Carbapenems, Cephalosporins, Lipopeptides, Penicillins","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",2.0
Escherichia coli,Missing 4,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides","Carbapenems, Fluoroquinolones, Penicillins, Î²-lactam combination agents",1.0
Escherichia coli,Missing 4,"Aminoglycosides, Fluoroquinolones, Penicillins, Î²-lactam combination agents","Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides",1.0
Escherichia coli,Missing 5,"Cephalosporins, Fluoroquinolones, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides, Penicillins",3984.0
Escherichia coli,Missing 5,"Carbapenems, Cephalosporins, Folate pathway antagonists","Aminoglycosides, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents",1595.0
Escherichia coli,Missing 5,"Carbapenems, Fluoroquinolones, Folate pathway antagonists","Aminoglycosides, Cephalosporins, Lipopeptides, Penicillins, Î²-lactam combination agents",760.0
Escherichia coli,Missing 5,"Aminoglycosides, Penicillins, Î²-lactam combination agents","Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",737.0
Escherichia coli,Missing 5,"Cephalosporins, Folate pathway antagonists, Penicillins","Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",650.0
Escherichia coli,Missing 5,"Aminoglycosides, Carbapenems, Cephalosporins","Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",443.0
Escherichia coli,Missing 5,"Carbapenems, Cephalosporins, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins",405.0
Escherichia coli,Missing 5,"Cephalosporins, Penicillins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",325.0
Escherichia coli,Missing 5,"Carbapenems, Cephalosporins, Fluoroquinolones","Aminoglycosides, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",304.0
Escherichia coli,Missing 5,"Carbapenems, Fluoroquinolones, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins",247.0
Escherichia coli,Missing 5,"Carbapenems, Fluoroquinolones, Lipopeptides","Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, Î²-lactam combination agents",194.0
Escherichia coli,Missing 5,"Aminoglycosides, Folate pathway antagonists, Penicillins","Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",181.0
Escherichia coli,Missing 5,"Fluoroquinolones, Folate pathway antagonists, Penicillins","Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Î²-lactam combination agents",179.0
Escherichia coli,Missing 5,"Carbapenems, Cephalosporins, Penicillins","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",93.0
Escherichia coli,Missing 5,"Aminoglycosides, Cephalosporins, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins",92.0
Escherichia coli,Missing 5,"Fluoroquinolones, Penicillins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides",90.0
Escherichia coli,Missing 5,"Aminoglycosides, Cephalosporins, Penicillins","Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",62.0
Escherichia coli,Missing 5,"Aminoglycosides, Cephalosporins, Folate pathway antagonists","Carbapenems, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents",61.0
Escherichia coli,Missing 5,"Carbapenems, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins",56.0
Escherichia coli,Missing 5,"Carbapenems, Penicillins, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",56.0
Escherichia coli,Missing 5,"Carbapenems, Fluoroquinolones, Penicillins","Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",40.0
Escherichia coli,Missing 5,"Carbapenems, Folate pathway antagonists, Penicillins","Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",39.0
Escherichia coli,Missing 5,"Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, Penicillins",36.0
Escherichia coli,Missing 5,"Aminoglycosides, Cephalosporins, Fluoroquinolones","Carbapenems, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",35.0
Escherichia coli,Missing 5,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Aminoglycosides, Carbapenems, Lipopeptides, Penicillins, Î²-lactam combination agents",34.0
Escherichia coli,Missing 5,"Cephalosporins, Fluoroquinolones, Penicillins","Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",24.0
Escherichia coli,Missing 5,"Carbapenems, Cephalosporins, Lipopeptides","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents",17.0
Escherichia coli,Missing 5,"Aminoglycosides, Carbapenems, Fluoroquinolones","Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",16.0
Escherichia coli,Missing 5,"Carbapenems, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",14.0
Escherichia coli,Missing 5,"Aminoglycosides, Carbapenems, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins",8.0
Escherichia coli,Missing 5,"Carbapenems, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, Î²-lactam combination agents",8.0
Escherichia coli,Missing 5,"Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides",6.0
Escherichia coli,Missing 5,"Aminoglycosides, Carbapenems, Folate pathway antagonists","Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents",5.0
Escherichia coli,Missing 5,"Aminoglycosides, Fluoroquinolones, Penicillins","Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",5.0
Escherichia coli,Missing 5,"Aminoglycosides, Carbapenems, Lipopeptides","Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents",4.0
Escherichia coli,Missing 5,"Aminoglycosides, Carbapenems, Penicillins","Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",4.0
Escherichia coli,Missing 5,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists","Carbapenems, Cephalosporins, Lipopeptides, Penicillins, Î²-lactam combination agents",4.0
Escherichia coli,Missing 5,"Aminoglycosides, Fluoroquinolones, Î²-lactam combination agents","Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins",3.0
Escherichia coli,Missing 5,"Aminoglycosides, Folate pathway antagonists, Î²-lactam combination agents","Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins",3.0
Escherichia coli,Missing 5,"Cephalosporins, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins",2.0
Escherichia coli,Missing 5,"Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Penicillins",2.0
Escherichia coli,Missing 5,"Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins",1.0
Escherichia coli,Missing 6,"Penicillins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",3380.0
Escherichia coli,Missing 6,"Cephalosporins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins",1104.0
Escherichia coli,Missing 6,"Carbapenems, Lipopeptides","Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents",1085.0
Escherichia coli,Missing 6,"Cephalosporins, Fluoroquinolones","Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",1023.0
Escherichia coli,Missing 6,"Carbapenems, Folate pathway antagonists","Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents",737.0
Escherichia coli,Missing 6,"Aminoglycosides, Folate pathway antagonists","Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents",475.0
Escherichia coli,Missing 6,"Carbapenems, Cephalosporins","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",442.0
Escherichia coli,Missing 6,"Carbapenems, Fluoroquinolones","Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",403.0
Escherichia coli,Missing 6,"Folate pathway antagonists, Penicillins","Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",337.0
